code,companyName,listedDate,type,floor,shortName,companyNameEng,isin,status,indexCode
TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,2018-06-04,STOCK,HOSE,Techcombank,Vietnam Technological and Commercial Join Stock Bank,VN000000TCB8,listed,VN30
NBW,Công ty Cổ phần Cấp nước Nhà Bè,2017-11-14,STOCK,HNX,Cấp nc Nhà Bè,Nha Be Water Supply Joint Stock Company,VN000000NBW9,listed,
SGB,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN CÔNG THƯƠNG,2020-10-15,STOCK,UPCOM,SÀI GÒN CÔNG THƯƠNG,SAI GON BANK FOR INDUSTRY AND TRADE,VN000000SGB1,listed,
VTS,Công ty Cổ phần Viglacera Từ Sơn ,2006-09-20,STOCK,HNX,Viglacera Từ Sơn,Viglacera Tu Son Ceramic Joint Stock Company,VN000000VTS2,listed,
DBW,Công ty Cổ phần Cấp nước Điện Biên,2017-01-09,STOCK,UPCOM,Cấp nc Điện Biên,Dien Bien Water Supply Joint Stock Company,VN000000DBW0,listed,
TXM,Công ty Cổ phần VICEM Thạch cao Xi măng,2006-12-11,STOCK,HNX,Thạch cao Xi măng,Gypsum and Cement VICEM Joint Stock Company,VN000000TXM1,listed,
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí ,2007-09-12,STOCK,HOSE,DV Tổng hợp D.khí,Petrovietnam General Services Js Corporation,VN000000PET4,listed,
DPR,Công ty Cổ phần Cao su Đồng Phú,2007-11-30,STOCK,HOSE,Cao su Đồng Phú,Dong Phu Rubber Joint Stock Company,VN000000DPR0,listed,
LBE,Công ty Cổ phần Sách và Thiết bị trường học Long An,2008-02-22,STOCK,HNX,Sách Long An,Long An School Book and Equipment Joint Stock Company,VN000000LBE1,listed,
ICF,Công ty Cổ phần Đầu tư Thương mại Thủy sản ,2019-05-20,STOCK,UPCOM,Đ.tư T.mại Th.sản,Investment Commerce Fisheries Corporation,VN000000ICF2,listed,
MEC,Công ty Cổ phần cơ khí - lắp máy Sông Đà,2020-06-02,STOCK,UPCOM,Cơ khí - lắp máy Sông Đà,Song Da Mechanical - Asembling Joint Stock Company,VN000000MEC7,listed,
VC1,Công ty Cổ phần Xây dựng số 1 ,2009-05-14,STOCK,HNX,CTCP xây dựng số 1,Construction Joint Stock Company No 1,VN000000VC13,listed,
SD6,Công ty Cổ phần Sông Đà 6,2006-12-25,STOCK,HNX,CTCP Sông Đà 6,Songda 6 Joint Stock Company,VN000000SD66,listed,
SDY,Công ty Cổ phần Xi măng Elecem,2017-06-09,STOCK,UPCOM,Xi măng Elecem,Elecem Cement Joint Stock Company,VN000000SDY0,listed,
GMC,Công ty cổ phần Garmex Sài Gòn,2006-12-22,STOCK,HOSE,Garmex Sài Gòn,Garmex Saigon Corporation,VN000000GMC2,listed,
VGP,Công ty Cổ phần Cảng rau quả,2009-06-12,STOCK,HNX,Cảng rau quả,The Vegetexco Port Joint Stock Company,VN000000VGP5,listed,
VBH,Công ty Cổ phần Điện tử Bình Hòa,2017-06-05,STOCK,UPCOM,Điện tử Bình Hòa,Viettronics Binh Hoa Joint Stock Company,VN000000VBH3,listed,
PJT,Công ty Cổ phần Vận tải Xăng dầu Đường Thủy Petrolimex,2006-12-28,STOCK,HOSE,V.tải Đg Thủy Petro,Petrolimex Joint Stock Tanker Company,VN000000PJT3,listed,
VTB,Công ty Cổ phần Viettronics Tân Bình,2006-12-27,STOCK,HOSE,Viettronics Tân Bình,Viettronics Tan Binh Joint Stock Company,VN000000VTB8,listed,
VNL,Công ty Cổ phần LOGISTICS VINALINK ,2009-08-17,STOCK,HOSE,LOGISTICS VINALINK,Vinalink International Freight Forwarders,VN000000VNL0,listed,
VHF,Công ty Cổ phần Xây dựng và chế biến lương thực Vĩnh Hà,2010-05-07,STOCK,UPCOM,L.thực Vĩnh Hà,Vinh Ha Food Processing And Construction Joint Stock Company,VN000000VHF4,listed,
VIC,Tập đoàn VINGROUP - CTCP,2007-09-19,STOCK,HOSE,Tập đoàn VINGROUP,VINGROUP Joint Stock Company,VN000000VIC9,listed,VN30
HKC,Công ty Cổ phần Dệt kim Hà Nội,2020-05-22,STOCK,UPCOM,Dệt kim Hà Nội,Hanoi Knitting Joint Stock Company,VN000000HKC4,listed,
TSC,Công ty Cổ phần Vật tư kỹ thuật nông nghiệp Cần Thơ,2007-10-04,STOCK,HOSE,N.nghiệp Cần Thơ,Techno – Agricultural Supplying Joint Stock Company,VN000000TSC2,listed,
VGG,Tổng Công ty Cổ phần may Việt Tiến ,2016-03-10,STOCK,UPCOM,May Việt Tiến,Viet Tien garment joint stock corporation,VN000000VGG4,listed,
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,2007-10-16,STOCK,HNX,ĐT Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,VN000000DST0,listed,
HSM,Tổng Công ty Cổ phần Dệt May Hà Nội,2018-04-19,STOCK,UPCOM,Dệt may Hà Nội,HaNoi Textile And Garment Joint Stock Corporation,VN000000HSM6,listed,
