code,companyName,listedDate,type,floor,shortName,companyNameEng,isin,status,indexCode
GEG,Công ty Cổ phần Điện Gia Lai,2019-09-19,STOCK,HOSE,CTCP Điện Gia Lai,Gia Lai Electricity Joint Stock Company,VN000000GEG0,listed,
SHC,Công ty Cổ phần Hàng hải Sài Gòn,2017-10-13,STOCK,UPCOM,Hàng hải Sài Gòn,Saigon Maritime Joint Stock Company,VN000000SHC7,listed,
BVH,Tập đoàn Bảo Việt ,2009-06-25,STOCK,HOSE,Tập đoàn Bảo Việt,BaoViet Holdings,VN000000BVH3,listed,
PTI,Tổng Công ty Cổ phần bảo hiểm bưu điện,2011-03-02,STOCK,HNX,Bảo hiểm bưu điện,Post & Telecommunication Joint Stock Insurance Corporation,VN000000PTI5,listed,
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan dầu khí,2006-12-05,STOCK,HOSE,DV khoan D.khí,PetroVietNam Drilling and Well Services Joint Stock Company,VN000000PVD2,listed,
HOM,Công ty Cổ phần Xi măng Vicem Hoàng Mai,2009-07-09,STOCK,HNX,Xi măng Hoàng Mai,Vicem Hoang Mai Cement Joint Stock Company,VN000000HOM5,listed,
GIL,Công ty Cổ phần Sản Xuất Kinh Doanh Xuất Nhập Khẩu Bình Thạnh,2002-01-02,STOCK,HOSE,XNK Bình Thạnh,BINHTHANH JOINT STOCK COMPANY,VN000000GIL1,listed,
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn – Sông Hinh,2006-07-18,STOCK,HOSE,Th.điện V.Sơn SH,Vinh Son - Song Hinh Hydropower Joint Stock Company,VN000000VSH7,listed,
QNS,Công Ty Cổ Phần Đường Quảng Ngãi,2016-12-20,STOCK,UPCOM,Đường Quảng Ngãi,Quang Ngai Sugar Joint Stock Company,VN000000QNS5,listed,
VNM,Công ty Cổ phần Sữa Việt Nam,2006-01-19,STOCK,HOSE,VINAMILK,Vietnam Dairy Products Joint Stock Company,VN000000VNM8,listed,VN30
PNJ,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,2009-03-23,STOCK,HOSE,Vàng Phú Nhuận,Phu Nhuan Jewelry Joint Stock Company,VN000000PNJ6,listed,VN30
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam ,2009-06-30,STOCK,HOSE,Vietcombank,Joint Stock Commercial Bank For Foreign Trade Of Vietnam,VN000000VCB4,listed,VN30
CAV,Công ty Cổ phần dây cáp điện Việt Nam ,2014-12-08,STOCK,HOSE,Dây cáp điện VN,Vietnam electric cable corporation,VN000000CAV6,listed,
SGC,Công ty Cổ phần Xuất nhập khẩu Sa Giang,2009-06-18,STOCK,HNX,XNK Sa Giang,Sa Giang Import Export Corporation,VN000000SGC9,listed,
VNA,Công ty Cổ phần vận tải biển VINASHIP ,2017-05-03,STOCK,UPCOM,V.tải VINASHIP,VINASHIP Joint Stock Company,VN000000VNA3,listed,
CLW,Công ty Cổ phần Cấp nước Chợ Lớn ,2011-01-11,STOCK,HOSE,Cấp nc Chợ Lớn,Cho Lon Water Supply Joint Stock Company,VN000000CLW1,listed,
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,2007-08-09,STOCK,HOSE,Xây dựng điện VN,Vietnam Electricity Construction Joint-stock Corporation,VN000000VNE5,listed,
HLY,Công ty Cổ phần Viglacera Hạ Long I,2006-12-25,STOCK,HNX,Viglacera Hạ Long I,Ha Long I - Viglacera JSC,VN000000HLY6,listed,
SDA,Công ty Cổ phần Simco Sông Đà ,2006-12-21,STOCK,HNX,CTCP Simco Sông Đà,Simco Songda Joint Stock Company,VN000000SDA0,listed,
BMC,Công ty Cổ phần Khoáng sản Bình Định,2006-12-28,STOCK,HOSE,K.sản Bình Định,Binh Dinh Minerals Joint Stock Company,VN000000BMC3,listed,
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC ,2020-08-18,STOCK,UPCOM,Đầu tư T.mại DIC,DIC Investment and Trading Joint Stock Company,VN000000DIC7,listed,
HBD,Công ty Cổ phần Bao bì PP Bình Dương,2013-09-16,STOCK,UPCOM,Bao bì Bình Dương,Binh Duong PP Pack Making Joint Stock Company,VN000000HBD1,listed,
SFI,Công ty Cổ phần Đại lý Vận tải SAFI,2006-12-29,STOCK,HOSE,Đại lý V.tải SAFI,Sea And Air Freight International,VN000000SFI8,listed,
NOS,Công ty cổ phần Vận tải biển và Thương mại Phương Đông,2011-01-11,STOCK,UPCOM,V.tải biển P.Đông,Oriental Shipping and Trading Joint Stock Company,VN000000NOS0,listed,
RIC,Công ty Cổ phần Quốc tế Hoàng Gia,2007-07-31,STOCK,HOSE,Quốc tế Hoàng Gia,Royal International Corporation,VN000000RIC7,listed,
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,2010-01-13,STOCK,HNX,Th.lợi Lâm Đồng,Lam Dong Investment Hydraulic Construction Joint Stock Company,VN000000LHC2,listed,HNX30
TV1,Công ty Cổ phần Tư vấn xây dựng điện 1,2018-06-22,STOCK,UPCOM,Tư vấn XD điện 1,Power Engineering Consulting Joint Stock Company 1,VN000000TV14,listed,
QHW,Công ty Cổ phần nước khoáng Quảng Ninh,2016-12-22,STOCK,UPCOM,Nước khoáng Q.Ninh,Quang Ninh Mineral Water Corporation,VN000000QHW9,listed,
SD2,Công ty Cổ phần Sông Đà 2,2007-11-30,STOCK,HNX,CTCP Sông Đà 2,Song Da 2 Joint Stock Company,VN000000SD25,listed,
GVT,Công ty Cổ phần Giấy Việt Trì,2017-01-12,STOCK,UPCOM,CTCP Giấy Việt Trì,VietTri Paper Joint Stock Company,VN000000GVT7,listed,
HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,2007-10-08,STOCK,HOSE,Nhà Bà Rịa VT,Ba Ria – Vung Tau House Development Joint Stock Company,VN000000HDC9,listed,
CDC,Công ty Cổ phần Chương Dương,2010-09-13,STOCK,HOSE,CTCP Chương Dương,Chuong Duong  Joint Stock Company,VN000000CDC0,listed,
VND,Công ty Cổ phần Chứng khoán VNDIRECT,2017-08-18,STOCK,HOSE,VNDIRECT,VNDIRECT Securities Corporation,VN000000VND7,listed,
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,2009-07-23,STOCK,HNX,Than Mông Dương,Vinacomin – Mong Duong Coal Joint Stock Company,VN000000MDC9,listed,
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,2009-03-05,STOCK,HNX,Than Hà Lầm,Vinacomin - Ha Lam coal Joint stock company,VN000000HLC2,listed,
SRF,Công ty Cổ phần Kỹ Nghệ Lạnh,2009-10-21,STOCK,HOSE,CTCP Kỹ Nghệ Lạnh,Seaprodex Refrigeration Industry Corporation,VN000000SRF9,listed,
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,2007-12-11,STOCK,HNX,Sách ĐH - Dạy nghề,Higher Educational And Vocational Book Joint Stock Company,VN000000HEV7,listed,
VC3,CÔNG TY CỔ PHẦN TẬP ĐOÀN NAM MÊ KÔNG,2007-12-13,STOCK,HNX,TẬP ĐOÀN NAM MÊ KÔNG,NAM MEKONG GROUP JOINT STOCK COMPANY,VN000000VC39,listed,HNX30
VHC,Công ty Cổ phần Vĩnh Hoàn,2007-12-24,STOCK,HOSE,CTCP Vĩnh Hoàn,Vinh Hoan Corporation,VN000000VHC1,listed,
DAP,Công ty Cổ phần Đông Á,2010-05-04,STOCK,UPCOM,CTCP Đông Á,DoPack Joint Stock Company,VN000000DAP6,listed,
VHG,Công ty Cổ phần Đầu tư Cao su Quảng Nam,2019-05-31,STOCK,UPCOM,Cao su Quảng Nam,Quang Nam Rubber Investment Joint Stock Company,VN000000VHG2,listed,
VSI,Công ty Cổ phần đầu tư và xây dựng cấp thoát nước,2010-12-24,STOCK,HOSE,Đ.tư XD C.thoát nc,Water Supply Sewerage Construction And Investment Joint Stock Company,VN000000VSI5,listed,
PDN,Công ty Cổ phần Cảng Đồng Nai ,2011-10-26,STOCK,HOSE,Cảng Đồng Nai,Dong Nai Port Joint Stock Company,VN000000PDN9,listed,
DQC,Công ty Cổ phần Bóng đèn Điện Quang,2008-02-21,STOCK,HOSE,Đèn Điện Quang,Dien Quang Joint Stock Company,VN000000DQC0,listed,
HBE,Công ty Cổ phần Sách-Thiết bị trường học Hà Tĩnh ,2008-02-22,STOCK,HNX,T.bị trg học H.Tĩnh,Ha Tinh Book And Equiptment Education Joint Stock COmpany,VN000000HBE9,listed,
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,2019-07-26,STOCK,HOSE,Tập đoàn Dabaco VN,Dabaco Group,VN000000DBC2,listed,
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,2017-06-29,STOCK,UPCOM,KienLong Bank,Kien Long Commercial Joint Stock Bank,VN000000KLB8,listed,
L62,Công ty Cổ phần Lilama 69-2,2008-04-21,STOCK,HNX,CTCP Lilama 69-2,LILAMA 69 - 2 Joint Stock company,VN000000L623,listed,
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,2010-04-19,STOCK,HNX,Chứng khoán APEC,Asia - Pacific Securities Joint Stock Company,VN000000APS4,listed,
STL,Công ty Cổ phần Sông Đà - Thăng Long,2013-11-12,STOCK,UPCOM,Sông Đà Thăng Long,Song Da - Thang Long Join Stock Company,VN000000STL3,listed,
PPH,Tổng Công ty Cổ phần Phong Phú,2017-08-23,STOCK,UPCOM,TCTCP Phong Phú,Phong Phu Corporation,VN000000PPH5,listed,
SEB,Công ty Cổ phần Đầu tư và Phát triển điện miền Trung,2009-01-14,STOCK,HNX,Đ.tư điện M.Trung,Mien Trung Power Investment and Development Joint - Stock Company,VN000000SEB6,listed,
EVF,Công ty Tài chính Cổ phần Điện lực,2018-08-07,STOCK,UPCOM,Tài chính Điện lực,EVN Finance Joint Stock Company,VN000000EVF1,listed,
ICG,Công ty Cổ phần Xây dựng sông Hồng ,2009-04-21,STOCK,HNX,Xây dựng sông Hồng,Song Hong Construction Joint Stock Company,VN000000ICG0,listed,
VNF,Công ty cổ phần VINAFREIGHT,2010-12-01,STOCK,HNX,VINAFREIGHT,Vinafreight Joint Stock Company,VN000000VNF2,listed,
ATA,Công ty Cổ phần NTACO ,2017-02-17,STOCK,UPCOM,CTCP NTACO,NTACO Joint Stock Company,VN000000ATA4,listed,
VMG,Công ty Cổ phần Thương mại và Dịch vụ dầu khí Vũng Tàu,2017-10-11,STOCK,UPCOM,Dầu khí Vũng Tàu,Commercial Corporation and Petroleum Services Vungtau,VN000000VMG2,listed,
GGG,Công ty Cổ phần Ô tô Giải Phóng,2014-08-15,STOCK,UPCOM,Ô tô Giải Phóng,GiaiPhong Motor Joint Stock Company,VN000000GGG5,listed,
GLT,Công ty Cổ phần Kỹ thuật điện toàn cầu,2009-11-26,STOCK,HNX,KT điện Toàn cầu,Global Electrical Technologies Corporation,VN000000GLT8,listed,
TKC,Công ty Cổ phần Xây dựng và Kinh doanh địa ốc Tân Kỷ,2009-12-01,STOCK,HNX,Địa ốc Tân Kỷ,Tanky Construction Real Estate Trading Corporation,VN000000TKC9,listed,
DBM,Công ty Cổ phần Dược - Vật tư y tế Đăk Lăk ,2009-12-17,STOCK,UPCOM,V.tư y tế Đăk Lăk,DAK LAK Pharmaceutical Medical Equipment Joint Stock Company,VN000000DBM1,listed,
DNC,Công ty Cổ phần Điện nước lắp máy Hải Phòng,2009-12-23,STOCK,HNX,Lắp máy Hải Phòng,Hai Phong Electricity Water Machine Assembly Joint Stock,VN000000DNC7,listed,
L44,Công ty Cổ phần Lilama 45.4,2018-06-08,STOCK,UPCOM,CTCP Lilama 45.4,Lilama 45.4 Joint Stock Company,VN000000L441,listed,
MAC,Công ty Cổ phần Cung ứng và Dịch vụ kỹ thuật hàng hải ,2009-12-24,STOCK,HNX,DV KT Hàng Hải,Marine Supply And Engineering Service Joint Stock Company,VN000000MAC5,listed,
DGT,Công ty Cổ phần Công trình giao thông Đồng Nai,2010-03-09,STOCK,UPCOM,C.trình GT Đ.Nai,DONA Transportation Construction Joint-Stock Company,VN000000DGT5,listed,
SNC,Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn,2014-11-11,STOCK,UPCOM,Thủy sản Năm Căn,Nam Can Seaproducts Import Export Joint Stock Company,VN000000SNC5,listed,
TLH,Công ty Cổ phần Tập đoàn thép Tiến Lên,2010-03-16,STOCK,HOSE,Thép Tiến Lên,Tienlen Steel Corporation Joint Stock Company,VN000000TLH6,listed,
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 ,2015-06-12,STOCK,HOSE,Nhơn Trạch 2,PetroVietnam Power NhonTrach 2 Joint Stock Company,VN000000NT22,listed,
HFC,Công ty cổ phần Xăng dầu HFC,2010-03-01,STOCK,UPCOM,X.dầu HFC,HFC Pertroleum Corporarion,VN000000HFC4,listed,
SDB,Công ty Cổ phần Sông Đà 207,2014-07-03,STOCK,UPCOM,CTCP Sông Đà 207,Song Da 207 Joint Stock Company,VN000000SDB8,listed,
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,2010-06-22,STOCK,HOSE,Đức Long Gia Lai,Duc Long Gia Lai Group Joint Stock Company,VN000000DLG2,listed,
BTG,Công ty Cổ phần Bao bì Tiền Giang,2010-03-24,STOCK,UPCOM,Bao bì Tiền Giang,Tien Giang Packaging Joint Stock Company,VN000000BTG9,listed,
OGC,Công ty Cổ phần Tập đoàn Đại Dương ,2010-05-04,STOCK,HOSE,Tập đoàn Đại Dương,"Ocean Group.,JSC",VN000000OGC8,listed,
TET,Công ty Cổ phần Vải sợi May mặc miền Bắc ,2010-04-28,STOCK,HNX,May mặc miền Bắc,Northern Textiles And Garments Joint Stock Company,VN000000TET6,listed,
DPP,Công ty Cổ phần Dược Đồng Nai ,2010-05-19,STOCK,UPCOM,Dược Đồng Nai,Dong Nai Pharmaceutical Joint Stock Company,VN000000DPP4,listed,
HPB,Công ty Cổ phần Bao bì PP,2013-12-12,STOCK,UPCOM,CTCP Bao bì PP,PP Pack Marking Joint Stock Company,VN000000HPB5,listed,
AME,Công ty Cổ phần Alphanam E&C,2010-06-02,STOCK,HNX,Alphanam E&C,Alphanam E&C Joint Stock Company,VN000000AME1,listed,
PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,2010-06-02,STOCK,HOSE,Lắp máy D.khí,Petroleum Equipment Assembly And Metal Structure Joinstock Company,VN000000PXS6,listed,
CLG,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec ,2010-08-09,STOCK,HOSE,Nhà đất Cotec,Cotec Investment And Land-House Development Joint Stock Company,VN000000CLG4,listed,
CVN,CÔNG TY CỔ PHẦN VINAM,2010-08-06,STOCK,HNX,CTCP VINAM,VINAM JOINT STOCK COMPANY,VN000000CVN9,listed,
DNH,Công ty cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,2017-06-19,STOCK,UPCOM,Th.điện Đa Nhim,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,VN000000DNH6,listed,
SFG,Công ty Cổ phần phân bón Miền Nam,2014-12-01,STOCK,HOSE,phân bón Miền Nam,THE SOUTHERN FERTILIZER JOINT STOCK COMPANY,VN000000SFG2,listed,
SWC,Tổng Công ty Cổ phần Đường sông Miền Nam ,2011-04-29,STOCK,UPCOM,Đg sông Miền Nam,Southern Waterborne Transport Corporation,VN000000SWC6,listed,
PVV,Công ty Cổ phần Vinaconex 39,2019-06-03,STOCK,UPCOM,Vinaconex 39,Vinaconex 39 Joint Stock Company,VN000000PVV4,listed,
ALV,Công ty Cổ phần Xây dựng ALVICO,2019-06-21,STOCK,UPCOM,CTCP ALVICO,ALVICO Construction Joint Stock Company,VN000000ALV7,listed,
PEC,Công ty Cổ phần Cơ khí Điện lực,2010-10-06,STOCK,UPCOM,Cơ khí Điện lực,Power Engineering Joint Stock Company,VN000000PEC0,listed,
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ ,2010-10-05,STOCK,HNX,S.phẩm dầu mỏ,Additives and Petroleum Products Joint Stock Company,VN000000APP0,listed,
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,2010-10-26,STOCK,HNX,XNK Hàng không,General Aviation Import Export Joint Stock Company,VN000000ARM3,listed,
DSN,Công ty Cổ phần Công viên nước Đầm Sen,2010-10-26,STOCK,HOSE,CVN Đầm Sen,Dam Sen Water Park Corporation,VN000000DSN3,listed,
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,2010-10-20,STOCK,HOSE,Địa ốc Hoàng Quân,Hoang Quan Consulting – Trading – Service Real Estate Corporation,VN000000HQC1,listed,
KTT,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ KTT,2010-10-28,STOCK,HNX,Điện Thiên Trường,Thien Truong Investment Equipment and Construction Engineering Joint Stock Company,VN000000KTT3,listed,
KST,Công ty Cổ phần KASATI,2010-12-29,STOCK,HNX,CTCP KASATI,Kasati Joint Stock Company,VN000000KST5,listed,
FSO,Công ty cổ phần Cơ khí đóng tàu thủy sản Việt Nam,2017-02-06,STOCK,UPCOM,Đóng tàu th.sản VN,Viet Nam Fishery Mechanical Shipbuilding Joint Stock Company,VN000000FSO6,listed,
VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,2011-02-21,STOCK,UPCOM,Thép VICASA,VNSTEEL - VICASA Joint Stock Company,VN000000VCA6,listed,
PXA,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,2018-06-13,STOCK,UPCOM,T.mại D.khí N.An,Petrovietnam – Nghe An Investment & Trading Joint stock company,VN000000PXA4,listed,
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,2011-03-18,STOCK,HOSE,ĐT Xây dựng HUD3,HUD3 Investment And Construction Joint Stock Company,VN000000HU35,listed,
HNE,Công ty Cổ phần Hanel,2020-02-13,STOCK,UPCOM,Hanel,Hanel Joint Stock Company,VN000000HNE4,listed,
ISG,Công ty Cổ phần Vận tải biển và Hợp tác lao động quốc tế ,2015-09-22,STOCK,UPCOM,V.tải biển & LĐQT,International Shipping and Labour Cooperation J.S.C,VN000000ISG6,listed,
IVS,Công ty Cổ phần Chứng khoán Đầu tư Việt Nam,2011-08-01,STOCK,HNX,CK Đầu tư VN,Vietnam Investment Securities Company,VN000000IVS5,listed,
HEM,Công ty cổ phần Chế tạo Điện cơ Hà Nội,2017-01-03,STOCK,UPCOM,Điện cơ Hà Nội,Hanoi Electromechanical Manufaturing Joint Stock Company,VN000000HEM6,listed,
CNG,Công ty Cổ phần CNG Việt Nam,2011-11-23,STOCK,HOSE,CTCP CNG Việt Nam,CNG Vietnam Joint Stock Company,VN000000CNG0,listed,
KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,2018-06-08,STOCK,UPCOM,VLXD Hưng Long,Hung Long Mineral and Building Material Joint Stock Company,VN000000KHL5,listed,
HHS,Công ty Cổ phần Đầu tư - Dịch vụ Hoàng Huy ,2012-02-15,STOCK,HOSE,ĐT - DV Hoàng Huy,Hoang Huy Investment Services joint Stock Company,VN000000HHS6,listed,
DHM,Công ty cổ phần thương mại và khai thác khoáng sản Dương Hiếu,2012-07-24,STOCK,HOSE,P.triển Dương Hiếu,DUONG HIEU TRADING AND MINING JOINT STOCK COMPANY,VN000000DHM8,listed,
VE8,Công ty Cổ phần Xây dựng Điện Vneco 8 ,2012-08-27,STOCK,HNX,XD Điện VNECO 8,Vneco8 Electricity Construction Joint Stock Company,VN000000VE86,listed,
VE4,Công ty Cổ phần xây dựng điện VNECO 4 ,2012-10-16,STOCK,HNX,XD Điện VNECO 4,VNECO4 Electricity Construction Joint Stock Company,VN000000VE45,listed,
BVB,Ngân hàng TMCP Bản Việt,2020-07-09,STOCK,UPCOM,Ngân hàng Bản Việt,Viet Capital Commercial Joint Stock Bank,VN000000BVB6,listed,
BCG,Công ty Cổ phần Bamboo Capital,2015-07-16,STOCK,HOSE,Bamboo Capital,Bamboo Capital Joint Stock Company,VN000000BCG5,listed,
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,2013-03-26,STOCK,HNX,BĐS HUDLAND,HUDLAND Real Estate Investment and Development Joint Stock Company,VN000000HLD0,listed,
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,2013-07-17,STOCK,HNX,X.lắp Nhà Đà Nẵng,Danang Housing Development joint stock company,VN000000NDX3,listed,
THS,Công ty Cổ phần Thanh Hoa - Sông Đà,2013-11-12,STOCK,HNX,Thanh Hoa Sông Đà,Song Da - Thanh Hoa Joint Stock Company,VN000000THS1,listed,
PDV,Công ty Cổ phần Vận tải Dầu Phương Đông Việt,2017-04-20,STOCK,UPCOM,V.tải dầu P.Đông Việt,Phuong Dong Viet Transportation Oil J.S.C,VN000000PDV2,listed,
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng,2017-07-11,STOCK,UPCOM,XD số 3 Hải Phòng,HaiPhong Construction Joint Stock Company No3,VN000000HC37,listed,
DLT,Công ty cổ phần du lịch và thương mại - VINACOMIN,2015-11-16,STOCK,UPCOM,T.mại VINACOMIN,Vinacomin - Tourism  Joint Stock Company,VN000000DLT5,listed,
BTD,Công ty cổ phần Bê tông Ly tâm Thủ Đức,2017-03-02,STOCK,UPCOM,Bê tông Thủ Đức,Thu Duc Centrifugal Concrete Joint Stock Company,VN000000BTD6,listed,
SGR,Công ty Cổ phần Địa ốc Sài Gòn,2018-01-15,STOCK,HOSE,Địa ốc Sài Gòn,Saigon Real – Estate Joint Stock Company,VN000000SGR7,listed,
DHD,Công ty Cổ phần Dược Vật tư Y tế Hải Dương,2017-05-05,STOCK,UPCOM,V.tư Y tế Hải Dg,Haiduong Pharmaceutical Medical Material Joint stock company,VN000000DHD7,listed,
HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,2015-11-19,STOCK,UPCOM,Nhà & Đô thị HUD6,HUD6 city and housing development investment joint stock company,VN000000HU68,listed,
KCB,Công ty Cổ phần Khoáng Sản Luyện Kim Cao Bằng,2015-12-01,STOCK,UPCOM,Luyện kim Cao Bằng,Cao Bang Mineral and Metallurgical Joint Stock Company,VN000000KCB7,listed,
XPH,Công ty Cổ phần Xà phòng Hà Nội,2014-11-25,STOCK,UPCOM,Xà phòng Hà Nội,Hanoi Soap Joint Stock Company,VN000000XPH9,listed,
PEN,Công ty Cổ phần Xây lắp III Petrolimex,2014-09-25,STOCK,HNX,X.lắp 3 Petrolimex,PETROLLIMEX INSTALLATION No.III JOINT STOCK COMPANY,VN000000PEN7,listed,
MH3,Công ty cổ phần Khu công nghiệp Cao su Bình Long,2017-03-06,STOCK,UPCOM,Cao su Bình Long,Binh Long Rubber Industrial Park Corporation,VN000000MH35,listed,
VTJ,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,2017-04-26,STOCK,HNX,Đầu tư Vinataba,VI NA TA BA Trading And Investment Joint Stock Company,VN000000VTJ1,listed,
CDO,Công ty Cổ phần Tư vấn thiết kế và phát triển đô thị,2018-10-05,STOCK,UPCOM,T.kế P.triển Đ.thị,Consultancy Design And Urban Development Joint Stock Company,VN000000CDO5,listed,
KVC,Công ty Cổ phần sản xuất xuất nhập khẩu INOX Kim vĩ,2015-04-14,STOCK,HNX,SX XNK INOX Kim vĩ,Kim Vi Inox Import Export Production Joint Stock Company,VN000000KVC5,listed,
XMD,Công ty Cổ phần Xuân Mai - Đạo Tú,2015-12-25,STOCK,UPCOM,Xuân Mai - Đạo Tú,Xuan Mai Dao Tu Joint Stock Company,VN000000XMD5,listed,
CKD,Công ty Cổ phần cơ khí Đông Anh Licogi,2015-05-21,STOCK,UPCOM,Cơ khí Đông Anh,Dong Anh Licogi Mechanical Joint Stock Company,VN000000CKD3,listed,
TA9,Công ty Cổ phần Xây lắp Thành An 96,2015-07-31,STOCK,HNX,X.lắp Thành An 96,Thanh An 96 Installation and Construction Joint Stock Company,VN000000TA92,listed,
DGW,Công ty Cổ phần Thế giới Số,2015-08-03,STOCK,HOSE,CTCP Thế giới Số,DIGIWORLD CORP,VN000000DGW9,listed,
MCI,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Vật liệu IDICO,2015-09-08,STOCK,UPCOM,Vật liệu IDICO,IDICO Material development and construction investment Joint Stock Company,VN000000MCI8,listed,
HNF,Công ty Cổ phần Thực phẩm Hữu Nghị ,2015-11-03,STOCK,UPCOM,Th.phẩm Hữu Nghị,HuuNghi Food Joint Stock Company,VN000000HNF1,listed,
MBG,Công ty cổ phần Tập đoàn MBG,2015-11-26,STOCK,HNX,ĐTPT XD T.mại VN,MBG Group Joint Stock Company,VN000000MBG4,listed,
VTM,Công ty cổ phần Vận Tải và đưa đón thợ mỏ - Vinacomin,2015-12-29,STOCK,UPCOM,V.tải thợ mỏ,Vinacomin- Transportation and Miner Commuting Service,VN000000VTM5,listed,
SGN,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,2018-08-01,STOCK,HOSE,Phục vụ Mặt đất SG,Saigon Ground Serv ices Joint Stock Company,VN000000SGN6,listed,
KPF,Công ty cổ phần Đầu tư tài chính Hoàng Minh,2016-03-02,STOCK,HOSE,T.chính Hoàng Minh,Hoang Minh Finance Investment Joint stock company,VN000000KPF0,listed,
CXH,Công ty cổ phần Xe khách Hà Nội,2016-02-26,STOCK,UPCOM,Xe khách Hà Nội,Hanoi Passenger Car Joint Stock Company,VN000000CXH7,listed,
HPX,Công ty cổ phần Đầu tư Hải Phát,2018-07-24,STOCK,HOSE,Đầu tư Hải Phát,Hai Phat Investment Joint Stock Company,VN000000HPX9,listed,
TVW,Công ty cổ phần Cấp thoát nước Trà Vinh,2017-12-11,STOCK,UPCOM,C.thoát nc Tr.Vinh,TraVinh Water Supply& Drainage Joint Stock Company,VN000000TVW4,listed,
XLV,Công ty cổ phần Xây lắp và Dịch vụ Sông Đà,2018-05-22,STOCK,UPCOM,X.lắp DV Sông Đà,Song Da Construction and Service Joint Stock Company,VN000000XLV9,listed,
TTL,Tổng công ty xây dựng Thăng Long - Công ty cổ phần,2018-01-18,STOCK,HNX,TCT Thăng Long,Thang Long Joint Stock Corporation,VN000000TTL1,listed,
CPH,Công ty cổ phần Phục vụ mai táng Hải Phòng,2017-02-08,STOCK,UPCOM,Mai táng Hải Phòng,Haiphong Funeral Services Joint Stock Company,VN000000CPH3,listed,
VTE,Công ty cổ phần Viễn thông Điện tử VINACAP,2018-06-05,STOCK,UPCOM,V.thông VINACAP,VINACAP TELECOM ELECTRONICS JOINT STOCK COMPANY,VN000000VTE2,listed,
GLW,Công ty cổ phần Cấp thoát nước Gia Lai,2018-01-08,STOCK,UPCOM,C.thoát nc Gia Lai,Gia Lai Water Supply Sewerange Joint Stock Company,VN000000GLW2,listed,
RAT,Công ty Cổ phần Vận tải và Thương mại Đường Sắt,2016-08-15,STOCK,UPCOM,V.tải T.mại Đ.sắt,Railway transport and trade joint stock company,VN000000RAT8,listed,
SPB,Công ty cổ phần Sợi Phú Bài,2016-10-17,STOCK,UPCOM,Sợi Phú Bài,Phu Bai Spinning Mill Joint Stock Company,VN000000SPB2,listed,
NBR,Công ty cổ phần Đường sắt Nghĩa Bình,2016-08-19,STOCK,UPCOM,Đ.sắt Nghĩa Bình,NGHIA BINH RAIL WAY JOINT STOCK COMPANY,VN000000NBR9,listed,
L45,Công ty cổ phần Lilama 45.1,2016-10-20,STOCK,UPCOM,Lilama 45.1,Lilama 45.1 Joint Stock Company,VN000000L458,listed,
RTS,Công ty cổ phần Thông tin tín hiệu Đường sắt Đà Nẵng,2016-11-01,STOCK,UPCOM,Tín hiệu Đ.sắt ĐN,Danang Railway Telecommunication – Signalization Joint Stock Company,VN000000RTS0,listed,
